,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ICV166,-0.0042245435,0.002825506,0.0075295004,0.054186527,0.0028304495,0.067895696,-0.046260003,-0.018030778,-0.009141048,-0.025106195,-0.08127083,-0.054213546,0.093510166,-0.08063235,-0.026038041,0.0067918897,0.06369978,-0.06889368,0.075256616,0.04834267,0.013688615,-0.047784746,-0.008209849,0.0020890208,0.08593656,-0.0065827817,-0.07257307,0.0040356517,0.03172212,0.013022046,-0.044491045,-0.04170811
ICV666,-0.009141941,-0.0002667196,-0.0003833105,0.054938547,0.01104378,0.062060535,-0.048782717,-0.027882857,-0.013127729,-0.030825324,-0.088949285,-0.049577095,0.09247405,-0.08244155,-0.027697552,0.010053979,0.059823006,-0.07836294,0.07109953,0.041606907,0.018464731,-0.043338243,-0.007269051,-0.0014164606,0.08628258,-0.008573536,-0.07905679,-0.010846384,0.032551832,0.019156784,-0.045583405,-0.04251133
ICV773,-0.009742381,0.0060227104,0.003106825,0.050251056,0.017741803,0.06872742,-0.039724953,-0.030525649,-0.015636012,-0.029067118,-0.08796964,-0.05192724,0.08760543,-0.08540398,-0.03585086,0.02157836,0.06251504,-0.07190308,0.07103231,0.04297442,0.011541051,-0.038895223,-0.0028833225,0.006588254,0.088450834,-0.008484837,-0.06694094,-0.006037589,0.037714742,0.030419016,-0.05059738,-0.049517866
ICV670,-0.009305597,0.0011262223,0.008581579,0.052509937,0.0045620725,0.05944352,-0.04232779,-0.017816845,-0.009778256,-0.03754443,-0.09569796,-0.047755644,0.091718376,-0.08525982,-0.025627745,0.009563472,0.05515616,-0.073611446,0.070316434,0.039176777,0.009968557,-0.045190256,0.0007933937,0.00531099,0.0865371,-0.0013180636,-0.0674525,0.0015232824,0.03125491,0.024411988,-0.04808587,-0.042647563
ICV112,-0.011235933,0.0029850248,0.0024184377,0.055202693,0.015619792,0.065285,-0.044521917,-0.034888037,-0.013794346,-0.029167444,-0.08721882,-0.052074462,0.08708556,-0.07882103,-0.028257053,0.016865663,0.06422019,-0.07519621,0.07081688,0.046324518,0.013507162,-0.037904322,-0.004202895,0.004262761,0.08881895,-0.005057212,-0.073413074,-0.0063357055,0.037855163,0.022219565,-0.041726965,-0.052114327
ICV133,-0.013389858,-0.0050672386,0.0035121404,0.055578023,0.011614075,0.06493349,-0.05152998,-0.027387682,-0.0062380545,-0.035685312,-0.08974296,-0.041991703,0.087586515,-0.08591659,-0.02323901,0.008167075,0.057622295,-0.076613374,0.06943019,0.04115238,0.01392743,-0.043690275,-0.004056599,0.0037043905,0.09236231,-0.0125833005,-0.077353105,-0.009242479,0.036518335,0.013220989,-0.038178466,-0.04372701
ICV139,-0.015210288,-0.0010419916,0.010186987,0.049504198,0.017437363,0.060849577,-0.042348973,-0.032555196,-0.010573409,-0.0315863,-0.08787791,-0.04214331,0.08460231,-0.08706647,-0.03206848,0.009932391,0.059641425,-0.07291999,0.070499144,0.04511211,0.00784782,-0.039565466,0.0014914218,0.008350823,0.08675464,0.0011440553,-0.070083536,-0.0017464459,0.035167646,0.022180732,-0.037273973,-0.055241834
ICV14,-0.010273809,-0.0004705023,0.006245412,0.049056526,0.009678654,0.0606552,-0.041668337,-0.028434264,-0.01417008,-0.03174763,-0.09212344,-0.052257866,0.08384141,-0.08637346,-0.026737012,0.01612379,0.06012351,-0.07455039,0.06945594,0.046568234,0.011015943,-0.04281815,0.005952228,0.006533552,0.08954189,-0.0023982823,-0.07260545,-0.0036664717,0.034862876,0.026194554,-0.046798225,-0.052611317
ICV656,-0.0037976252,-0.0007737763,0.006996027,0.05137823,0.010729689,0.06718234,-0.042154565,-0.035161026,-0.013487793,-0.029153854,-0.08101543,-0.04791183,0.08958006,-0.08475011,-0.029881358,0.011674417,0.05561574,-0.07281474,0.07250952,0.042460393,0.015366775,-0.047051117,-0.0016779602,0.001131203,0.08730981,-0.009096764,-0.07148187,-0.006192453,0.036602814,0.018111609,-0.047133435,-0.04942622
ICV54,-0.01286582,0.004754006,0.003458759,0.051720504,0.013191044,0.067979425,-0.04127484,-0.028015302,-0.011562548,-0.036039222,-0.08942599,-0.05035779,0.08551098,-0.08441801,-0.033350572,0.014694767,0.059890784,-0.07237814,0.06904139,0.044706855,0.009627614,-0.039556623,0.002483029,0.003338255,0.08782709,-0.004441891,-0.06687012,-0.002250284,0.03509365,0.029125553,-0.04616206,-0.04858847
ICV295,-0.010001998,-0.0012478009,0.0019250773,0.05809709,0.013390936,0.065480925,-0.040897645,-0.027771926,-0.01266859,-0.03383794,-0.096281946,-0.048523895,0.09096373,-0.07921492,-0.02634044,0.015069207,0.061228104,-0.07809105,0.07043824,0.04887258,0.012283268,-0.039717242,0.0005722549,0.0023293216,0.09000857,-0.011478428,-0.07188992,-0.008644499,0.0357365,0.02153679,-0.048958343,-0.045331456
ICV717,-0.005777309,-0.00017281435,0.004973112,0.056915887,0.004162479,0.057878044,-0.048478313,-0.023027796,-0.0005811006,-0.02521712,-0.094974816,-0.045464482,0.09862093,-0.081692636,-0.025570929,-0.0042890534,0.052288275,-0.08553269,0.0709236,0.04192458,0.015565949,-0.05634792,-0.009871447,-0.004328813,0.08826098,-0.0078953095,-0.073994145,0.0012757704,0.0329267,0.012308476,-0.046883333,-0.040699728
ICV755,-0.008675808,0.0025880951,0.0037739635,0.05363751,0.016411422,0.070565686,-0.04378364,-0.035728134,-0.014922181,-0.027299386,-0.08789945,-0.052991465,0.090177774,-0.08172128,-0.028766794,0.01676985,0.067249686,-0.07221273,0.0735626,0.045092605,0.012324767,-0.038016282,-0.0020357613,0.0018470576,0.09041668,-0.008450571,-0.06868504,-0.009364799,0.038642056,0.023554564,-0.047725808,-0.048712738
ICV273,-0.009528931,0.006648196,0.0034292764,0.053583935,0.016695729,0.06629678,-0.045578998,-0.029686723,-0.015714193,-0.03424174,-0.0878877,-0.04737173,0.08957485,-0.08254553,-0.031852294,0.014242616,0.06615859,-0.077802345,0.06849038,0.04536488,0.008119833,-0.03824424,-0.0036094654,0.003708654,0.090582155,-0.0077438056,-0.06631361,-0.0057359003,0.037682988,0.024676241,-0.045942,-0.04657553
ICV75,-0.013561029,0.005424712,0.004485232,0.048447005,0.011592347,0.063004844,-0.042058248,-0.03204582,-0.013640842,-0.030609492,-0.081251755,-0.0562929,0.08488223,-0.08273962,-0.03188595,0.017867977,0.0626834,-0.070453376,0.06745799,0.049083933,0.014569699,-0.037861437,-0.0027673133,0.010062687,0.092863515,0.00052407384,-0.076761834,-0.0012961663,0.03678485,0.023665827,-0.035954166,-0.05375198
ICV115,-0.009585027,-0.0010759234,0.0044702794,0.055660658,0.014880359,0.0667143,-0.041933943,-0.034667023,-0.010777127,-0.028171958,-0.0856035,-0.050329983,0.08610967,-0.07941224,-0.027036715,0.014002658,0.06069453,-0.071861394,0.07132645,0.04736683,0.013993998,-0.039843213,-0.002698999,0.0038727531,0.08619939,-0.008899406,-0.07562025,-0.0062818862,0.03776557,0.020632723,-0.042233177,-0.052502297
ICV212,-0.0083148675,0.0006512329,0.004072434,0.056203023,0.0039331466,0.060646538,-0.0395961,-0.022108331,-0.002991259,-0.038604256,-0.0936118,-0.053524323,0.09559888,-0.08315991,-0.029700482,0.009018388,0.054633394,-0.075675815,0.065303534,0.043737803,0.009392786,-0.04505109,0.0042243153,0.0016506156,0.08415299,0.0031186081,-0.06344343,0.0050105304,0.02847913,0.026059039,-0.051272478,-0.044216722
ICV401,-0.009981674,-0.004679695,0.009859355,0.060936503,0.0011162572,0.046426866,-0.04938832,-0.020253774,0.008145977,-0.031206837,-0.090119444,-0.044310868,0.10148681,-0.078091845,-0.022827545,-0.011492282,0.063094065,-0.08406226,0.06711403,0.04690451,0.015677232,-0.057021357,-0.01062201,-0.0041467524,0.091212556,-0.007384494,-0.07651155,0.008559592,0.035585463,0.008783186,-0.04458322,-0.042747863
ICV281,-0.003913438,-0.0029570498,0.001180537,0.055860206,0.0059354864,0.059792213,-0.04699427,-0.024834715,-0.0055633225,-0.02504257,-0.09282477,-0.051854543,0.09731335,-0.079742275,-0.023786858,0.004619533,0.054701034,-0.079733156,0.071032524,0.03919196,0.016862553,-0.051798396,-0.009837728,-0.00474387,0.08917235,-0.013454463,-0.07856564,-0.0043776818,0.037008345,0.016812474,-0.05268313,-0.040665247
ICV237,-0.012921528,-0.0010868777,0.0087738335,0.049608562,0.01593205,0.060421273,-0.036862113,-0.03711054,-0.008436772,-0.035276283,-0.087375104,-0.044926047,0.08791819,-0.083905965,-0.032659173,0.018879205,0.057066012,-0.069655225,0.06776326,0.044594433,0.00925267,-0.03912229,-0.0013665967,0.012493892,0.08869095,-0.0089915395,-0.069086745,-0.004182674,0.04020793,0.025236756,-0.042915173,-0.051365446
ICV275,-0.008058614,0.0031131618,0.010458876,0.054387398,0.010367323,0.059623607,-0.05139555,-0.017957058,-0.0019253679,-0.034530878,-0.09458538,-0.0417019,0.09811374,-0.08618524,-0.02169248,0.0018018968,0.059684455,-0.081283085,0.06782816,0.04045314,0.004480812,-0.04564434,-0.009327913,0.0033631371,0.08535113,-0.005747661,-0.06561077,0.0026434362,0.030680053,0.015384119,-0.041837715,-0.039296813
ICV132,-0.008966446,-0.0030582678,0.0069381604,0.056266896,0.008005319,0.06748688,-0.046258375,-0.027094347,-0.005100174,-0.031204123,-0.08560857,-0.046258356,0.084862694,-0.08240019,-0.024538562,0.008471461,0.051676027,-0.07808194,0.07260032,0.044232123,0.018239252,-0.049167648,-0.0035307966,0.004614205,0.08797177,-0.016270125,-0.07604795,-0.00094565004,0.036810085,0.018445278,-0.044581555,-0.048067182
ICV769,-0.009620527,0.005393343,0.004987621,0.04989896,0.014379507,0.06621378,-0.037595876,-0.029176185,-0.009743738,-0.030569073,-0.08485257,-0.051843718,0.08780763,-0.08399496,-0.03344781,0.017474793,0.059756864,-0.07164738,0.06855566,0.04448502,0.0132330125,-0.041500285,-0.00071994774,0.0083826445,0.08728314,-0.010561768,-0.069694735,-0.0044564307,0.035561696,0.027283974,-0.047668494,-0.049492523
ICV385,0.0015095398,-0.005450381,0.007958833,0.055684853,-0.008782759,0.053228423,-0.05409853,-0.024908217,0.0048257094,-0.024766978,-0.08814845,-0.046606425,0.1041789,-0.08166011,-0.019164454,-0.017680675,0.045556005,-0.08548674,0.076680295,0.03937084,0.027575186,-0.065673724,-0.006470673,-0.0076768305,0.09279424,-0.005367808,-0.08527727,0.0017744042,0.026131429,0.00072103087,-0.040798582,-0.034383956
ICV300,-0.009443639,0.00046760403,0.000913786,0.05730498,0.012810176,0.06544393,-0.04083761,-0.025062108,-0.013217269,-0.035209745,-0.095991254,-0.048888817,0.0878253,-0.07966097,-0.026286721,0.016190505,0.05834296,-0.07991577,0.070749395,0.04879927,0.011723067,-0.0406853,0.0020109527,0.0026373733,0.09055698,-0.01017626,-0.07126259,-0.004157245,0.03604667,0.022933181,-0.049799018,-0.046991497
ICV333,-0.010771471,-0.0011696871,0.007693038,0.053897623,0.011103582,0.06309169,-0.039790913,-0.028693989,-0.0100001125,-0.03155291,-0.08935143,-0.0462763,0.08327401,-0.083651796,-0.035520934,0.0037781894,0.06339723,-0.07346149,0.06883864,0.05131144,0.009026579,-0.043285638,0.002361104,0.004038818,0.08358426,-0.0043129474,-0.066254936,-0.0024912022,0.036067046,0.02150733,-0.04435593,-0.052611582
